,Champ,Damage_done,Damage_taken,Gold_earned,Match_length,Minions_slain,Monsters_killed,Deaths,Win,Lane,Opp_champ,gold7me,gold15me,xp7me,xp15me,gold7opp,gold15opp,xp7opp,xp15opp
0,Chogath,2105,13757,4895,15.2,136,0,3,False,MIDDLE,Syndra,2227.0,5592.0,2234.0,6182.0,1988.0,5034.0,1929.0,5250.0
1,Zilean,22562,22646,12877,28.3,237,0,2,True,MIDDLE,Qiyana,1988.0,5034.0,1929.0,5250.0,2227.0,5592.0,2234.0,6182.0
4,Velkoz,19724,15399,9162,22.65,197,0,6,True,MIDDLE,Leblanc,1988.0,5034.0,1929.0,5250.0,2227.0,5592.0,2234.0,6182.0
5,Kayle,4458,5789,6598,16.183333333333334,136,0,0,True,MIDDLE,Ekko,2227.0,5592.0,2234.0,6182.0,1988.0,5034.0,1929.0,5250.0
6,Yasuo,3015,7709,7300,19.45,192,0,2,False,MIDDLE,Akshan,2227.0,5592.0,2234.0,6182.0,1988.0,5034.0,1929.0,5250.0
9,Velkoz,30995,14043,14107,29.733333333333334,257,12,2,True,MIDDLE,Riven,2227.0,5592.0,2234.0,6182.0,1988.0,5034.0,1929.0,5250.0
10,Akshan,22516,19750,11924,29.516666666666666,236,4,5,False,MIDDLE,Akali,2227.0,5592.0,2234.0,6182.0,1988.0,5034.0,1929.0,5250.0
11,Swain,29804,30982,12933,28.283333333333335,236,0,2,True,MIDDLE,Galio,1988.0,5034.0,1929.0,5250.0,2227.0,5592.0,2234.0,6182.0
12,Xerath,11263,9267,6145,17.166666666666668,144,0,4,False,MIDDLE,Azir,2227.0,5592.0,2234.0,6182.0,1988.0,5034.0,1929.0,5250.0
13,Yone,13441,17710,8665,15.9,148,11,2,True,MIDDLE,Azir,1988.0,5034.0,1929.0,5250.0,2227.0,5592.0,2234.0,6182.0
14,Velkoz,39610,18460,14844,32.95,267,8,5,False,MIDDLE,Ahri,1988.0,5034.0,1929.0,5250.0,2227.0,5592.0,2234.0,6182.0
15,Jayce,10145,8842,6827,15.316666666666666,137,0,1,True,MIDDLE,Aurora,1988.0,5034.0,1929.0,5250.0,2227.0,5592.0,2234.0,6182.0
16,Akshan,27625,23328,14141,27.4,259,11,6,True,MIDDLE,Akali,2227.0,5592.0,2234.0,6182.0,1988.0,5034.0,1929.0,5250.0
18,Ambessa,8143,20244,7549,22.883333333333333,187,3,6,False,MIDDLE,Viktor,2227.0,5592.0,2234.0,6182.0,1988,5034,1929,5250
19,Yone,18666,27808,9229,27.0,215,0,7,False,MIDDLE,Akali,2227.0,5592.0,2234.0,6182.0,1988,5034,1929,5250
20,Yasuo,16066,9953,11326,20.783333333333335,200,13,1,True,MIDDLE,Katarina,1988.0,5034.0,1929.0,5250.0,2227,5592,2234,6182
21,Zilean,20769,24539,12497,29.483333333333334,234,0,2,True,MIDDLE,TwistedFate,2227.0,5592.0,2234.0,6182.0,1988,5034,1929,5250
22,Sylas,26003,31579,9786,26.233333333333334,180,0,6,False,MIDDLE,Orianna,1988.0,5034.0,1929.0,5250.0,2227,5592,2234,6182
23,Ryze,41146,44136,22278,41.483333333333334,380,23,6,False,MIDDLE,Viktor,2227.0,5592.0,2234.0,6182.0,1988,5034,1929,5250
24,Swain,20317,21700,11069,20.866666666666667,169,4,1,True,MIDDLE,Yasuo,1988.0,5034.0,1929.0,5250.0,2227,5592,2234,6182
25,Sylas,21234,26161,13033,27.983333333333334,247,0,3,True,MIDDLE,Quinn,1988.0,5034.0,1929.0,5250.0,2227,5592,2234,6182
28,Poppy,9910,13330,5580,15.65,117,0,3,False,MIDDLE,Yasuo,2227.0,5592.0,2234.0,6182.0,1988,5034,1929,5250
30,Xerath,28766,15726,12326,28.566666666666663,225,6,4,True,MIDDLE,Viktor,2227.0,5592.0,2234.0,6182.0,1988,5034,1929,5250
31,Azir,13891,18847,14201,29.9,304,14,2,True,MIDDLE,Mel,2227.0,5592.0,2234.0,6182.0,1988,5034,1929,5250
32,Mel,20008,15722,9689,25.583333333333332,229,4,5,False,MIDDLE,Kayle,2227.0,5592.0,2234.0,6182.0,1988,5034,1929,5250
33,Xerath,24318,12508,13402,27.433333333333337,227,0,3,True,MIDDLE,Smolder,1988.0,5034.0,1929.0,5250.0,2227,5592,2234,6182
34,Ambessa,31125,36718,12790,30.216666666666665,193,26,5,True,MIDDLE,Azir,2227.0,5592.0,2234.0,6182.0,1988,5034,1929,5250
35,Mel,44700,26916,13630,36.733333333333334,228,0,8,False,MIDDLE,Velkoz,1988.0,5034.0,1929.0,5250.0,2227,5592,2234,6182
36,Karma,24505,18479,12068,26.233333333333334,220,0,1,True,MIDDLE,Sylas,1988.0,5034.0,1929.0,5250.0,2227,5592,2234,6182
38,Syndra,28694,23314,11852,28.966666666666665,243,0,7,False,MIDDLE,Yone,2227.0,5592.0,2234.0,6182.0,2034,3904,2710,5690
39,Xerath,8884,7993,6452,15.733333333333333,141,0,2,True,MIDDLE,Azir,2227.0,5592.0,2234.0,6182.0,1988,5034,1929,5250
40,Syndra,32262,24333,13866,30.133333333333333,225,20,6,True,MIDDLE,Azir,1988.0,5034.0,1929.0,5250.0,2227,5592,2234,6182
41,Smolder,27014,26424,10845,29.433333333333337,235,12,7,False,MIDDLE,Jayce,2227.0,5592.0,2234.0,6182.0,1988,5034,1929,5250
42,Akali,27873,19132,12510,26.666666666666668,213,4,2,True,MIDDLE,Ekko,1988.0,5034.0,1929.0,5250.0,2227,5592,2234,6182
43,Aurora,32552,26429,12187,29.95,209,1,5,True,MIDDLE,Viktor,1988.0,5034.0,1929.0,5250.0,2227,5592,2234,6182
45,Corki,36740,25292,13835,23.15,176,16,6,True,MIDDLE,Fizz,1988.0,5034.0,1929.0,5250.0,2227,5592,2234,6182
46,Mel,43811,17823,16061,29.483333333333334,253,0,3,True,MIDDLE,Gwen,2227.0,5592.0,2234.0,6182.0,1988,5034,1929,5250
49,Hwei,8779,4864,7540,15.35,159,0,0,True,MIDDLE,Syndra,1988.0,5034.0,1929.0,5250.0,2227,5592,2234,6182
