Champ,Damage_done,Damage_taken,Gold_earned,Match_length,Minions_slain,Monsters_killed,Deaths,Win,Lane,Opp_champ,Damage share,gold_me,xp_me,gold_opp,xp_opp,objs_me,objs_opp,my_team_id,obj_timeline
Ryze,27095,28390,14357,29.883333333333333,247,24,4,True,MIDDLE,Annie,0.2290499015157279,"[500, 500, 618, 937, 1447, 1734, 2080, 2461, 2834, 3613, 4125, 4765, 5236, 5358, 5836, 6228, 6652, 7000, 7565, 8563, 9259, 9553, 10213, 10813, 11264, 11576, 11723, 12147, 12880, 13532, 14357]","[0, 0, 215, 798, 1624, 1993, 2646, 3227, 3813, 4622, 5231, 5898, 6313, 6313, 6845, 7424, 8164, 8604, 9658, 10306, 11062, 11596, 14246, 14875, 15338, 16472, 16472, 16650, 17128, 18212, 19156]","[500, 500, 632, 951, 1269, 1577, 1888, 2163, 2532, 2843, 3312, 3476, 3609, 4823, 5240, 5472, 6186, 6529, 6762, 7047, 7428, 7556, 7925, 8123, 8954, 9143, 9336, 9488, 9673, 9970, 10202]","[0, 0, 276, 829, 1355, 1826, 2379, 2651, 3345, 3898, 4254, 4587, 4680, 5129, 5591, 5867, 7095, 7518, 7759, 8188, 8806, 8952, 9644, 10279, 11532, 11773, 12136, 12673, 13146, 13558, 13804]","{'HORDE': 1, 'DRAGON': 3, 'RIFTHERALD': 1, 'ATAKHAN': 1, 'BARON_NASHOR': 1}","{'HORDE': 5, 'DRAGON': 1}",200.0,"{100: [{'type': 'HORDE', 'sub_type': '', 'time': 7.22}, {'type': 'HORDE', 'sub_type': '', 'time': 7.48}, {'type': 'HORDE', 'sub_type': '', 'time': 11.97}, {'type': 'HORDE', 'sub_type': '', 'time': 12.11}, {'type': 'HORDE', 'sub_type': '', 'time': 12.71}, {'type': 'DRAGON', 'sub_type': 'CHEMTECH_DRAGON', 'time': 14.78}], 200: [{'type': 'HORDE', 'sub_type': '', 'time': 7.38}, {'type': 'DRAGON', 'sub_type': 'WATER_DRAGON', 'time': 8.76}, {'type': 'RIFTHERALD', 'sub_type': '', 'time': 16.31}, {'type': 'DRAGON', 'sub_type': 'AIR_DRAGON', 'time': 20.37}, {'type': 'ATAKHAN', 'sub_type': '', 'time': 24.33}, {'type': 'DRAGON', 'sub_type': 'AIR_DRAGON', 'time': 26.13}, {'type': 'BARON_NASHOR', 'sub_type': '', 'time': 28.28}]}"
Chogath,2105,13757,4895,15.2,136,0,3,False,MIDDLE,Syndra,0.15379557244100242,"[500, 500, 651, 963, 1302, 1593, 1883, 2116, 2526, 2753, 3028, 3396, 3728, 3963, 4382, 4871, 4895]","[0, 0, 276, 829, 1442, 2028, 2483, 2731, 3283, 3560, 4209, 4857, 5479, 5816, 6464, 7249, 7249]","[500, 500, 670, 968, 1458, 1849, 2274, 2744, 3104, 3561, 4272, 4704, 5086, 5700, 6271, 6773, 6884]","[0, 0, 276, 829, 1367, 1954, 2488, 2922, 3416, 3930, 4731, 5379, 5955, 6170, 6874, 7595, 7690]",{'DRAGON': 1},"{'HORDE': 6, 'DRAGON': 1}",200.0,"{200: [{'type': 'DRAGON', 'sub_type': 'EARTH_DRAGON', 'time': 5.81}], 100: [{'type': 'HORDE', 'sub_type': '', 'time': 6.95}, {'type': 'HORDE', 'sub_type': '', 'time': 7.14}, {'type': 'HORDE', 'sub_type': '', 'time': 7.24}, {'type': 'DRAGON', 'sub_type': 'CHEMTECH_DRAGON', 'time': 11.27}, {'type': 'HORDE', 'sub_type': '', 'time': 13.16}, {'type': 'HORDE', 'sub_type': '', 'time': 13.3}, {'type': 'HORDE', 'sub_type': '', 'time': 13.49}]}"
Zilean,22562,22646,12877,28.3,237,0,2,True,MIDDLE,Qiyana,0.2289047836453102,"[500, 500, 646, 916, 1363, 1760, 2029, 2397, 2774, 3113, 3794, 4146, 4868, 5256, 5651, 6034, 6656, 6820, 7510, 7733, 8476, 8626, 9169, 10106, 10305, 10502, 11382, 12025, 12641, 12877]","[0, 0, 276, 738, 1513, 2161, 2601, 3188, 3775, 4388, 5068, 5489, 6207, 6694, 7342, 8053, 8965, 9202, 9715, 10047, 10963, 11054, 13465, 14385, 14816, 14929, 15840, 17082, 17802, 18204]","[500, 500, 562, 839, 1108, 1472, 1804, 2136, 2443, 2775, 2919, 3316, 3585, 3844, 4268, 4595, 4951, 5251, 5544, 5868, 6096, 6545, 6848, 7087, 7698, 8636, 8758, 9175, 9413, 9449]","[0, 0, 185, 829, 1200, 1909, 2462, 3110, 3551, 4130, 4345, 4944, 5348, 5901, 6549, 7067, 7530, 8237, 8429, 9118, 9521, 10047, 10666, 11083, 12071, 12347, 12347, 12824, 12990, 12990]","{'HORDE': 5, 'DRAGON': 2, 'RIFTHERALD': 1, 'ATAKHAN': 1, 'BARON_NASHOR': 1}","{'DRAGON': 2, 'HORDE': 1}",100.0,"{100: [{'type': 'HORDE', 'sub_type': '', 'time': 6.45}, {'type': 'HORDE', 'sub_type': '', 'time': 6.69}, {'type': 'HORDE', 'sub_type': '', 'time': 6.82}, {'type': 'HORDE', 'sub_type': '', 'time': 11.63}, {'type': 'HORDE', 'sub_type': '', 'time': 11.83}, {'type': 'DRAGON', 'sub_type': 'EARTH_DRAGON', 'time': 18.93}, {'type': 'RIFTHERALD', 'sub_type': '', 'time': 19.85}, {'type': 'ATAKHAN', 'sub_type': '', 'time': 21.73}, {'type': 'DRAGON', 'sub_type': 'EARTH_DRAGON', 'time': 25.41}, {'type': 'BARON_NASHOR', 'sub_type': '', 'time': 26.63}], 200: [{'type': 'DRAGON', 'sub_type': 'CHEMTECH_DRAGON', 'time': 6.8}, {'type': 'HORDE', 'sub_type': '', 'time': 12.02}, {'type': 'DRAGON', 'sub_type': 'AIR_DRAGON', 'time': 13.28}]}"
Ezreal,44047,25375,16272,33.03333333333333,334,20,0,True,BOTTOM,Zeri,0.3562721926993602,"[500, 500, 632, 965, 1192, 1486, 2093, 2472, 2772, 3027, 3365, 3789, 4135, 4507, 4810, 5121, 5541, 6049, 6430, 7235, 7979, 8278, 8728, 9495, 10061, 10524, 11169, 11606, 12702, 13353, 13901, 14413, 14930, 16268, 16272]","[0, 0, 160, 541, 893, 1355, 1807, 2171, 2573, 2854, 3232, 3933, 4517, 5164, 5540, 6123, 6775, 7558, 8105, 8882, 9556, 10150, 10834, 11818, 13337, 13896, 14772, 15449, 16921, 17417, 18042, 18881, 19734, 20984, 20984]","[500, 500, 612, 889, 1263, 1449, 1854, 2265, 2635, 2890, 3255, 3672, 3988, 4369, 4597, 4921, 5747, 5912, 6190, 6633, 7200, 7637, 8086, 8579, 9020, 9433, 9959, 10477, 11010, 11479, 12735, 13576, 13908, 14405, 14409]","[0, 0, 140, 501, 910, 1095, 1799, 2243, 2765, 3198, 3440, 4110, 4601, 5249, 5526, 5830, 6498, 6654, 6879, 7628, 8057, 8666, 9294, 9455, 10049, 10675, 11153, 11726, 12531, 13063, 14740, 15483, 15885, 16188, 16188]","{'HORDE': 2, 'DRAGON': 4, 'ATAKHAN': 1, 'BARON_NASHOR': 1}","{'HORDE': 4, 'DRAGON': 1, 'RIFTHERALD': 1}",100.0,"{100: [{'type': 'HORDE', 'sub_type': '', 'time': 6.36}, {'type': 'HORDE', 'sub_type': '', 'time': 6.6}, {'type': 'DRAGON', 'sub_type': 'FIRE_DRAGON', 'time': 14.12}, {'type': 'DRAGON', 'sub_type': 'CHEMTECH_DRAGON', 'time': 20.76}, {'type': 'ATAKHAN', 'sub_type': '', 'time': 23.38}, {'type': 'DRAGON', 'sub_type': 'CHEMTECH_DRAGON', 'time': 26.21}, {'type': 'BARON_NASHOR', 'sub_type': '', 'time': 27.91}, {'type': 'DRAGON', 'sub_type': 'CHEMTECH_DRAGON', 'time': 31.37}], 200: [{'type': 'HORDE', 'sub_type': '', 'time': 6.97}, {'type': 'DRAGON', 'sub_type': 'HEXTECH_DRAGON', 'time': 8.12}, {'type': 'HORDE', 'sub_type': '', 'time': 11.77}, {'type': 'HORDE', 'sub_type': '', 'time': 11.97}, {'type': 'HORDE', 'sub_type': '', 'time': 12.15}, {'type': 'RIFTHERALD', 'sub_type': '', 'time': 17.86}]}"
Tristana,38597,32844,15527,31.916666666666668,245,44,5,True,BOTTOM,Ashe,0.21407811685358358,"[500, 500, 676, 1015, 1374, 1696, 2108, 2605, 2811, 3339, 3704, 3993, 4446, 4741, 5688, 5915, 6572, 7070, 8199, 8604, 9406, 9655, 10374, 11002, 11468, 11590, 11712, 12135, 12288, 12684, 13774, 14307, 15527]","[0, 0, 150, 550, 913, 1105, 1844, 2447, 2724, 3491, 4044, 4197, 4982, 5223, 6194, 6478, 7467, 8138, 9022, 9639, 10439, 11270, 13695, 14831, 15463, 15463, 15649, 16249, 16249, 16664, 17854, 18097, 19175]","[500, 500, 632, 965, 1276, 1556, 1825, 1992, 2354, 2663, 2938, 4065, 4571, 5091, 6052, 6284, 6717, 7450, 7656, 8124, 8824, 9593, 10090, 10407, 10726, 11175, 11612, 11839, 12360, 12482, 12892, 13313, 13991]","[0, 0, 160, 541, 965, 1209, 1731, 1977, 2566, 2989, 3340, 3869, 4277, 5085, 5982, 6345, 7023, 7777, 8023, 8920, 9740, 11105, 11644, 12060, 12612, 13133, 13794, 13981, 14835, 14835, 15476, 15892, 16082]","{'DRAGON': 3, 'RIFTHERALD': 1, 'ATAKHAN': 1, 'BARON_NASHOR': 1}","{'HORDE': 6, 'DRAGON': 1}",200.0,"{100: [{'type': 'HORDE', 'sub_type': '', 'time': 6.56}, {'type': 'HORDE', 'sub_type': '', 'time': 7.11}, {'type': 'HORDE', 'sub_type': '', 'time': 7.23}, {'type': 'HORDE', 'sub_type': '', 'time': 12.81}, {'type': 'HORDE', 'sub_type': '', 'time': 12.98}, {'type': 'HORDE', 'sub_type': '', 'time': 13.09}, {'type': 'DRAGON', 'sub_type': 'AIR_DRAGON', 'time': 27.72}], 200: [{'type': 'DRAGON', 'sub_type': 'CHEMTECH_DRAGON', 'time': 6.96}, {'type': 'DRAGON', 'sub_type': 'HEXTECH_DRAGON', 'time': 15.78}, {'type': 'RIFTHERALD', 'sub_type': '', 'time': 16.95}, {'type': 'ATAKHAN', 'sub_type': '', 'time': 21.05}, {'type': 'DRAGON', 'sub_type': 'AIR_DRAGON', 'time': 21.57}, {'type': 'BARON_NASHOR', 'sub_type': '', 'time': 26.61}]}"
Velkoz,19724,15399,9162,22.65,197,0,6,True,MIDDLE,Leblanc,0.29320648134383825,"[500, 500, 618, 902, 1458, 1709, 2191, 2533, 2926, 3259, 3715, 4180, 4598, 4963, 5525, 6307, 6819, 7177, 7495, 7791, 8099, 8411, 8791, 9162]","[0, 0, 215, 798, 1210, 1484, 2077, 2703, 3374, 3906, 4807, 5270, 5823, 6352, 6746, 7506, 7959, 8403, 8982, 9277, 9624, 10718, 11542, 12208]","[500, 500, 646, 951, 1670, 1999, 2331, 2530, 2935, 3246, 3563, 3945, 4256, 4668, 5000, 5454, 6173, 6569, 6843, 7362, 7687, 8005, 8350, 8605]","[0, 0, 276, 829, 1443, 2027, 2580, 3098, 3736, 4289, 4906, 5585, 6077, 6816, 7292, 7945, 8527, 9222, 9651, 10235, 10937, 11331, 12027, 12336]","{'HORDE': 6, 'DRAGON': 1, 'ATAKHAN': 1}","{'DRAGON': 2, 'RIFTHERALD': 1}",100.0,"{100: [{'type': 'HORDE', 'sub_type': '', 'time': 6.32}, {'type': 'HORDE', 'sub_type': '', 'time': 6.5}, {'type': 'HORDE', 'sub_type': '', 'time': 6.57}, {'type': 'HORDE', 'sub_type': '', 'time': 11.1}, {'type': 'HORDE', 'sub_type': '', 'time': 11.16}, {'type': 'HORDE', 'sub_type': '', 'time': 11.24}, {'type': 'DRAGON', 'sub_type': 'CHEMTECH_DRAGON', 'time': 17.29}, {'type': 'ATAKHAN', 'sub_type': '', 'time': 20.88}], 200: [{'type': 'DRAGON', 'sub_type': 'EARTH_DRAGON', 'time': 6.6}, {'type': 'DRAGON', 'sub_type': 'AIR_DRAGON', 'time': 11.9}, {'type': 'RIFTHERALD', 'sub_type': '', 'time': 16.44}]}"
Kayle,4458,5789,6598,16.183333333333334,136,0,0,True,MIDDLE,Ekko,0.11684227079729517,"[500, 500, 646, 930, 1262, 1500, 1767, 2568, 2912, 3330, 3703, 4050, 4417, 5243, 5603, 5936, 6255, 6598]","[0, 0, 276, 829, 1446, 2033, 2564, 2671, 3193, 3872, 4427, 5045, 5598, 6275, 6800, 7482, 8006, 8138]","[500, 500, 646, 965, 1262, 1609, 1878, 2063, 2496, 2786, 3199, 3609, 3961, 4301, 4717, 4992, 5306, 5329]","[0, 0, 276, 829, 1262, 2094, 2615, 2870, 3534, 4021, 4588, 5236, 5652, 6262, 6909, 7514, 7939, 8000]","{'DRAGON': 2, 'HORDE': 6}",{},200.0,"{200: [{'type': 'DRAGON', 'sub_type': 'FIRE_DRAGON', 'time': 5.52}, {'type': 'HORDE', 'sub_type': '', 'time': 6.82}, {'type': 'HORDE', 'sub_type': '', 'time': 7.0}, {'type': 'HORDE', 'sub_type': '', 'time': 7.11}, {'type': 'HORDE', 'sub_type': '', 'time': 12.42}, {'type': 'HORDE', 'sub_type': '', 'time': 12.65}, {'type': 'HORDE', 'sub_type': '', 'time': 12.87}, {'type': 'DRAGON', 'sub_type': 'AIR_DRAGON', 'time': 14.46}]}"
Yasuo,3015,7709,7300,19.45,192,0,2,False,MIDDLE,Akshan,0.07717708493318999,"[500, 500, 604, 888, 1262, 1647, 1930, 2254, 2861, 3311, 3656, 4066, 4389, 4853, 5465, 5708, 5945, 6322, 6758, 7139, 7300]","[0, 0, 185, 768, 1477, 2125, 2555, 3049, 3880, 4365, 4828, 5498, 6010, 6617, 7038, 7390, 7666, 8217, 9065, 9680, 9762]","[500, 500, 646, 951, 1227, 1385, 1966, 2350, 2998, 3657, 4114, 4440, 4803, 5081, 5239, 5375, 5793, 6862, 7280, 8003, 8495]","[0, 0, 276, 891, 1477, 1691, 2599, 3367, 3513, 4148, 4519, 5167, 5709, 6152, 6152, 6306, 6974, 7956, 8925, 9596, 9893]",{},"{'HORDE': 6, 'DRAGON': 3}",200.0,"{100: [{'type': 'HORDE', 'sub_type': '', 'time': 6.29}, {'type': 'HORDE', 'sub_type': '', 'time': 6.4}, {'type': 'HORDE', 'sub_type': '', 'time': 6.51}, {'type': 'DRAGON', 'sub_type': 'HEXTECH_DRAGON', 'time': 7.28}, {'type': 'HORDE', 'sub_type': '', 'time': 11.04}, {'type': 'HORDE', 'sub_type': '', 'time': 11.19}, {'type': 'HORDE', 'sub_type': '', 'time': 11.28}, {'type': 'DRAGON', 'sub_type': 'FIRE_DRAGON', 'time': 12.8}, {'type': 'DRAGON', 'sub_type': 'AIR_DRAGON', 'time': 18.33}]}"
Jinx,40455,20617,17177,29.283333333333335,307,8,3,True,BOTTOM,Tristana,0.456587248738756,"[500, 500, 646, 916, 1038, 1478, 1800, 2447, 2709, 3125, 3481, 4103, 4972, 5406, 6098, 6455, 6826, 7219, 7884, 8303, 8885, 9432, 9564, 10077, 11899, 12230, 13100, 14327, 14859, 16620, 17177]","[0, 0, 180, 521, 581, 1095, 1477, 1884, 2204, 2614, 2952, 3404, 3790, 4301, 4768, 5129, 5628, 6110, 6762, 7289, 7784, 8239, 8239, 8916, 9807, 10125, 11323, 12728, 13767, 15053, 15335]","[500, 500, 625, 912, 1132, 1844, 2217, 2618, 2960, 3430, 3762, 4003, 4293, 4567, 5033, 5478, 5646, 6344, 6619, 6909, 7349, 7607, 7966, 8457, 8615, 9061, 9546, 10627, 11443, 11664, 11698]","[0, 0, 180, 541, 794, 1345, 1706, 2279, 2682, 3063, 3287, 3697, 4236, 4599, 5083, 5574, 5811, 6301, 6524, 6876, 7509, 7666, 8341, 9763, 9813, 10423, 11066, 11995, 13322, 13503, 13503]","{'HORDE': 4, 'DRAGON': 2, 'BARON_NASHOR': 1}","{'HORDE': 2, 'RIFTHERALD': 1, 'DRAGON': 2, 'ATAKHAN': 1}",100.0,"{100: [{'type': 'HORDE', 'sub_type': '', 'time': 7.86}, {'type': 'HORDE', 'sub_type': '', 'time': 7.98}, {'type': 'DRAGON', 'sub_type': 'CHEMTECH_DRAGON', 'time': 10.26}, {'type': 'HORDE', 'sub_type': '', 'time': 13.17}, {'type': 'HORDE', 'sub_type': '', 'time': 13.22}, {'type': 'DRAGON', 'sub_type': 'AIR_DRAGON', 'time': 15.51}, {'type': 'BARON_NASHOR', 'sub_type': '', 'time': 27.0}], 200: [{'type': 'HORDE', 'sub_type': '', 'time': 8.03}, {'type': 'HORDE', 'sub_type': '', 'time': 12.38}, {'type': 'RIFTHERALD', 'sub_type': '', 'time': 20.02}, {'type': 'DRAGON', 'sub_type': 'HEXTECH_DRAGON', 'time': 22.09}, {'type': 'ATAKHAN', 'sub_type': '', 'time': 22.22}, {'type': 'DRAGON', 'sub_type': 'HEXTECH_DRAGON', 'time': 27.67}]}"
Ezreal,23836,20479,9665,23.4,185,0,9,False,BOTTOM,Smolder,0.2910414046569555,"[500, 500, 632, 874, 1269, 1668, 2059, 2425, 2788, 2931, 3353, 3702, 4124, 4803, 5724, 6049, 6460, 7121, 7384, 8368, 8783, 8906, 9314, 9596, 9665]","[0, 0, 160, 360, 939, 1207, 1732, 2306, 2770, 2894, 3633, 4153, 4644, 5353, 5802, 6384, 6980, 8054, 8347, 8793, 9375, 9375, 9842, 10685, 10766]","[500, 500, 632, 1260, 1509, 2059, 2251, 2703, 3100, 3873, 4323, 4773, 5752, 6250, 6690, 6949, 7362, 7781, 8411, 9979, 10412, 11841, 12579, 13892, 14352]","[0, 0, 160, 544, 787, 1288, 1564, 2113, 2701, 2964, 3726, 4310, 4864, 5512, 5858, 6195, 7004, 7720, 8623, 10499, 11353, 12149, 13378, 14438, 14728]",{'DRAGON': 1},"{'HORDE': 6, 'DRAGON': 1, 'ATAKHAN': 1}",200.0,"{100: [{'type': 'HORDE', 'sub_type': '', 'time': 6.57}, {'type': 'HORDE', 'sub_type': '', 'time': 6.65}, {'type': 'HORDE', 'sub_type': '', 'time': 6.76}, {'type': 'HORDE', 'sub_type': '', 'time': 12.18}, {'type': 'HORDE', 'sub_type': '', 'time': 12.23}, {'type': 'HORDE', 'sub_type': '', 'time': 12.4}, {'type': 'DRAGON', 'sub_type': 'HEXTECH_DRAGON', 'time': 19.23}, {'type': 'ATAKHAN', 'sub_type': '', 'time': 21.54}], 200: [{'type': 'DRAGON', 'sub_type': 'EARTH_DRAGON', 'time': 13.18}]}"
Velkoz,30995,14043,14107,29.733333333333334,257,12,2,True,MIDDLE,Riven,0.30664740742206437,"[500, 500, 646, 958, 1311, 1682, 1998, 2225, 2616, 3082, 3755, 4290, 4838, 5286, 5972, 6249, 6976, 7320, 7782, 8339, 8862, 9135, 9411, 10266, 10715, 11009, 11231, 12751, 13449, 13919, 14107]","[0, 0, 276, 829, 1386, 2064, 2647, 3052, 3824, 4294, 5166, 5814, 6613, 7015, 7784, 8268, 8862, 9154, 9827, 10638, 10845, 11283, 11728, 13447, 14008, 14448, 14704, 16352, 16864, 17421, 17755]","[500, 500, 618, 909, 1241, 1448, 1808, 2034, 2407, 2549, 2742, 2932, 3082, 3391, 3543, 3904, 4076, 4502, 4738, 5118, 5283, 5961, 6182, 6883, 7229, 7623, 8274, 8419, 8726, 9001, 9396]","[0, 0, 215, 798, 1477, 1848, 2492, 2710, 3358, 3480, 3847, 4063, 4400, 5048, 5077, 5690, 5748, 6646, 7003, 7528, 7831, 8412, 8848, 9400, 9925, 10436, 11426, 11488, 12050, 12360, 13224]","{'DRAGON': 3, 'ATAKHAN': 1, 'BARON_NASHOR': 1}","{'HORDE': 6, 'DRAGON': 1, 'RIFTHERALD': 1}",200.0,"{200: [{'type': 'DRAGON', 'sub_type': 'WATER_DRAGON', 'time': 6.2}, {'type': 'DRAGON', 'sub_type': 'HEXTECH_DRAGON', 'time': 19.09}, {'type': 'ATAKHAN', 'sub_type': '', 'time': 22.16}, {'type': 'DRAGON', 'sub_type': 'HEXTECH_DRAGON', 'time': 24.28}, {'type': 'BARON_NASHOR', 'sub_type': '', 'time': 26.37}], 100: [{'type': 'HORDE', 'sub_type': '', 'time': 7.88}, {'type': 'HORDE', 'sub_type': '', 'time': 8.08}, {'type': 'HORDE', 'sub_type': '', 'time': 8.2}, {'type': 'DRAGON', 'sub_type': 'AIR_DRAGON', 'time': 11.63}, {'type': 'HORDE', 'sub_type': '', 'time': 13.25}, {'type': 'HORDE', 'sub_type': '', 'time': 13.36}, {'type': 'HORDE', 'sub_type': '', 'time': 13.89}, {'type': 'RIFTHERALD', 'sub_type': '', 'time': 16.42}]}"
