Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
Week 4,TALON (Hong Kong Team),MGN Vikings Esports,2 - 1,1,25.S1.3,Zyra,Kalista,Wukong,K'Sante,Viktor,Vi,Aurora,"Ezreal, Lee Sin","Pantheon, Gragas",Karma,Lulu,Galio,Jhin,Orianna,Maokai,"Jinx, Poppy",Leona,Mid,Jungle,Top,Bot,Support,Bot,Jungle,Mid,Top,Support,SB,https://youtu.be/FBCodivy_V4?t=15639
Week 4,MGN Vikings Esports,TALON (Hong Kong Team),1 - 1,1,25.S1.3,Kalista,K'Sante,Leona,Zyra,Vi,Aurora,Nocturne,"Kai'Sa, Xin Zhao","Ashe, Ambessa",Udyr,Pyke,Poppy,Orianna,Mel,Elise,"Annie, Ryze",Taliyah,Jungle,Bot,Top,Support,Mid,Bot,Jungle,Top,Support,Mid,SB,https://youtu.be/FBCodivy_V4?t=12865
Week 4,TALON (Hong Kong Team),MGN Vikings Esports,1 - 0,1,25.S1.3,Zyra,Kalista,K'Sante,Aurora,Ambessa,Nocturne,Skarner,"Corki, Jayce","Rumble, Varus",Brand,Leona,Jhin,Elise,Poppy,Nautilus,"Azir, Rell",Miss Fortune,Jungle,Top,Bot,Mid,Support,Mid,Top,Jungle,Support,Bot,SB,https://youtu.be/FBCodivy_V4?t=9544
Week 4,CTBC Flying Oyster,Chiefs Esports Club,2 - 0,1,25.S1.3,Aurora,Xin Zhao,Akali,Zyra,K'Sante,Jayce,Skarner,"Nocturne, Varus","Kai'Sa, Corki",Orianna,Jax,Poppy,Leona,Rakan,Alistar,"Udyr, Gragas",Sett,Jungle,Bot,Mid,Top,Support,Jungle,Bot,Mid,Support,Top,SB,https://youtu.be/FBCodivy_V4?t=5419
Week 4,CTBC Flying Oyster,Chiefs Esports Club,1 - 0,1,25.S1.3,Aurora,Zyra,K'Sante,Xin Zhao,Skarner,Corki,Kalista,"Rumble, Sejuani","Vi, Renata Glasc",Yone,Akali,Varus,Galio,Ashe,Miss Fortune,"Mel, Ornn",Nautilus,Bot,Jungle,Support,Mid,Top,Top,Jungle,Mid,Bot,Support,SB,https://youtu.be/FBCodivy_V4?t=2565
Week 4,GAM Esports,Team Secret Whales,0 - 2,2,25.S1.3,Wukong,Corki,Ezreal,Skarner,Kalista,Nocturne,K'Sante,"Aurora, Xin Zhao","Lee Sin, Orianna",Ambessa,Ashe,Kai'Sa,Poppy,Miss Fortune,Rakan,"Renata Glasc, Zeri",Jinx,Top,Jungle,Mid,Support,Bot,Mid,Jungle,Top,Support,Bot,SB,https://youtu.be/5y5kz6GqHJg?t=10641
Week 4,Team Secret Whales,GAM Esports,1 - 0,1,25.S1.3,Corki,Aurora,Zyra,Kalista,Skarner,Nocturne,Varus,"Rumble, Vi","Galio, Elise",Yone,Wukong,Kai'Sa,Xin Zhao,Miss Fortune,Caitlyn,"Viego, Jayce",Karma,Bot,Mid,Support,Jungle,Top,Top,Jungle,Mid,Bot,Support,SB,https://youtu.be/5y5kz6GqHJg?t=7784
Week 4,DetonatioN FocusMe,Fukuoka SoftBank HAWKS gaming,0 - 2,2,25.S1.3,Skarner,K'Sante,Rakan,Aurora,Poppy,Vi,Varus,"Miss Fortune, Ambessa","Jayce, Pantheon",Sejuani,Renata Glasc,Viktor,Orianna,Alistar,Elise,"Shen, Ahri",Sylas,Bot,Top,Jungle,Support,Mid,Bot,Top,Jungle,Support,Mid,SB,https://youtu.be/5y5kz6GqHJg?t=2803
Week 4,DetonatioN FocusMe,Fukuoka SoftBank HAWKS gaming,0 - 1,2,25.S1.3,Skarner,Kalista,Sejuani,K'Sante,Rakan,Aurora,Ashe,"Rumble, Xin Zhao","Braum, Azir",Ezreal,Vi,Akali,Viego,Viktor,Leona,"Wukong, Ornn",Taliyah,Bot,Support,Mid,Jungle,Top,Top,Jungle,Bot,Support,Mid,SB,https://youtu.be/5y5kz6GqHJg?t=1
Week 4,CTBC Flying Oyster,TALON (Hong Kong Team),2 - 1,1,25.S1.3,Lee Sin,Skarner,Kalista,Rumble,Renata Glasc,Wukong,Rakan,"Corki, Nocturne","Xayah, Gragas",Aurora,Orianna,Poppy,Taliyah,Elise,Rell,"Galio, Kindred",Gnar,Support,Bot,Top,Mid,Jungle,Bot,Jungle,Mid,Support,Top,SB,https://youtu.be/jYt9B0uLOlU?t=11305
Week 4,TALON (Hong Kong Team),CTBC Flying Oyster,1 - 1,1,25.S1.3,Zyra,Rumble,Rakan,Skarner,Akali,Kalista,Vi,"Viktor, Sejuani","Varus, Xerath",Ambessa,Renekton,Corki,Renata Glasc,Miss Fortune,Draven,"Udyr, Leona",Braum,Jungle,Bot,Mid,Top,Support,Mid,Jungle,Top,Bot,Support,SB,https://youtu.be/jYt9B0uLOlU?t=7859
Week 4,CTBC Flying Oyster,TALON (Hong Kong Team),1 - 0,1,25.S1.3,Rumble,Zyra,Varus,Skarner,Kalista,Corki,Azir,"Jayce, Pantheon","K'Sante, Xin Zhao",Mel,Rakan,Ashe,Leona,Miss Fortune,Ezreal,"Kai'Sa, Nautilus",Alistar,Mid,Top,Jungle,Bot,Support,Top,Jungle,Mid,Bot,Support,SB,https://youtu.be/jYt9B0uLOlU?t=4421
Week 4,MGN Vikings Esports,Chiefs Esports Club,2 - 0,1,25.S1.3,Kalista,Nocturne,Aurora,Zyra,Skarner,Jayce,K'Sante,"Viego, Corki","Miss Fortune, Lee Sin",Renekton,Pyke,Poppy,Elise,Ahri,Rell,"Rakan, Hwei",Akali,Top,Bot,Jungle,Support,Mid,Jungle,Bot,Top,Support,Mid,SB,https://youtu.be/jYt9B0uLOlU?t=425
Week 4,Chiefs Esports Club,MGN Vikings Esports,0 - 1,2,25.S1.3,Nocturne,Kalista,Zyra,Aurora,Jayce,K'Sante,Ashe,"Ambessa, Varus","Vi, Neeko",Nautilus,Braum,Brand,Leona,Nidalee,Sejuani,"Sion, Sylas",Azir,Bot,Jungle,Support,Top,Mid,Top,Bot,Support,Jungle,Mid,SB,https://youtu.be/sFr9aFC0S_w?t=2664
Week 4,DetonatioN FocusMe,GAM Esports,0 - 2,2,25.S1.3,Kalista,Aurora,Ambessa,Vi,Nocturne,Ashe,K'Sante,"Jayce, Varus","Miss Fortune, Sejuani",Renata Glasc,Mel,Wukong,Neeko,Viktor,Diana,"Taliyah, Pyke",Yone,Top,Bot,Jungle,Mid,Support,Top,Bot,Support,Jungle,Mid,SB,https://youtu.be/gx3RaqlcKYo?t=13525
Week 4,GAM Esports,DetonatioN FocusMe,1 - 0,1,25.S1.3,Aurora,Kalista,Ashe,Nocturne,Vi,K'Sante,Skarner,"Kai'Sa, Xin Zhao","Rumble, Corki",Rakan,Poppy,Udyr,Alistar,Ornn,Sion,"Caitlyn, Elise",Azir,Jungle,Top,Mid,Bot,Support,Bot,Jungle,Support,Top,Mid,SB,https://youtu.be/gx3RaqlcKYo?t=10380
Week 4,Team Secret Whales,Fukuoka SoftBank HAWKS gaming,2 - 0,1,25.S1.3,Skarner,Kalista,Xin Zhao,Rumble,Ezreal,Zyra,Mel,"Caitlyn, Elise","Vi, Jayce",Poppy,Jhin,Pantheon,Orianna,Nocturne,Lee Sin,"Miss Fortune, Leona",Viktor,Mid,Jungle,Top,Bot,Support,Bot,Support,Top,Jungle,Mid,SB,https://youtu.be/gx3RaqlcKYo?t=4891
Week 4,Fukuoka SoftBank HAWKS gaming,Team Secret Whales,0 - 1,2,25.S1.3,Kalista,Skarner,Rumble,Xin Zhao,Nocturne,Mel,K'Sante,"Aurora, Wukong","Sejuani, Azir",Ambessa,Ashe,Poppy,Ezreal,Elise,Varus,"Kai'Sa, Alistar",Renata Glasc,Top,Jungle,Mid,Bot,Support,Mid,Jungle,Top,Bot,Support,SB,https://youtu.be/gx3RaqlcKYo?t=1648
Week 3,TALON (Hong Kong Team),GAM Esports,2 - 1,1,25.S1.3,K'Sante,Kalista,Vi,Viktor,Jayce,Rumble,Corki,"Ahri, Wukong","Xin Zhao, Udyr",Jax,Ashe,Rakan,Jhin,Caitlyn,Poppy,"Renata Glasc, Mel",Zeri,Bot,Jungle,Top,Support,Mid,Mid,Jungle,Top,Support,Bot,SB,https://youtu.be/EfTU0eS1d2c?t=16879
Week 3,GAM Esports,TALON (Hong Kong Team),1 - 1,1,25.S1.3,Viktor,Kalista,Jayce,Corki,Rumble,K'Sante,Aurora,"Pantheon, Ezreal","Nocturne, Miss Fortune",Orianna,Jax,Vi,Rakan,Xin Zhao,Leona,"Nautilus, Camille",Gnar,Mid,Jungle,Bot,Support,Top,Jungle,Bot,Mid,Support,Top,SB,https://youtu.be/EfTU0eS1d2c?t=13094
Week 3,TALON (Hong Kong Team),GAM Esports,1 - 0,1,25.S1.3,Akali,Kalista,K'Sante,Rumble,Jayce,Aurora,Skarner,"Varus, Ambessa","Renekton, Azir",Lillia,Miss Fortune,Corki,Ashe,Poppy,Tryndamere,"Kai'Sa, Elise",Rell,Jungle,Top,Mid,Bot,Support,Bot,Top,Jungle,Mid,Support,SB,https://youtu.be/EfTU0eS1d2c?t=10088
Week 3,Fukuoka SoftBank HAWKS gaming,Chiefs Esports Club,2 - 0,1,25.S1.3,Kalista,Rumble,Nocturne,Skarner,Pantheon,Miss Fortune,K'Sante,"Ornn, Ezreal","Kai'Sa, Vi",Viego,Nautilus,Galio,Rakan,Elise,Alistar,"Rell, Akali",Ahri,Top,Bot,Jungle,Support,Mid,Top,Bot,Jungle,Support,Mid,SB,https://youtu.be/EfTU0eS1d2c?t=5602
Week 3,Chiefs Esports Club,Fukuoka SoftBank HAWKS gaming,0 - 1,2,25.S1.3,Ambessa,Skarner,Rumble,Kalista,Azir,K'Sante,Wukong,"Xin Zhao, Ashe","Aurora, Jayce",Poppy,Kai'Sa,Viktor,Ziggs,Orianna,Hwei,"Mel, Leona",Braum,Jungle,Mid,Top,Bot,Support,Jungle,Bot,Top,Mid,Support,SB,https://youtu.be/EfTU0eS1d2c?t=2548
Week 3,MGN Vikings Esports,DetonatioN FocusMe,2 - 1,1,25.S1.3,Vi,Zyra,Kalista,Nocturne,Sejuani,Corki,Aurora,"Caitlyn, Viego","Lee Sin, Jax",Azir,Kai'Sa,Sion,Jinx,Lux,Gragas,"Lucian, Nami",Karma,Mid,Jungle,Top,Bot,Support,Bot,Jungle,Mid,Top,Support,SB,https://youtu.be/rXg6uqsm20Y?t=21018
Week 3,DetonatioN FocusMe,MGN Vikings Esports,1 - 1,1,25.S1.3,Zyra,Vi,Nocturne,Kalista,Corki,Aurora,Rumble,"Ambessa, Miss Fortune","Ezreal, Pantheon",Skarner,Karma,Viktor,Leona,Rell,Elise,"Ahri, Braum",Lissandra,Top,Bot,Jungle,Mid,Support,Top,Bot,Jungle,Support,Mid,SB,https://youtu.be/rXg6uqsm20Y?t=17726
Week 3,MGN Vikings Esports,DetonatioN FocusMe,1 - 0,1,25.S1.3,Vi,Zyra,Kalista,Nocturne,Aurora,Corki,K'Sante,"Ashe, Xin Zhao","Varus, Wukong",Jayce,Pyke,Azir,Poppy,Braum,Rakan,"Orianna, Nautilus",Hwei,Top,Bot,Jungle,Mid,Support,Bot,Jungle,Top,Support,Mid,SB,https://youtu.be/rXg6uqsm20Y?t=14643
Week 3,CTBC Flying Oyster,Team Secret Whales,1 - 2,2,25.S1.3,Elise,Zyra,Udyr,Rumble,Akali,Aurora,Varus,"Miss Fortune, Nocturne","Sejuani, Yone",Jax,Gragas,Rell,Sion,Sylas,Galio,"Urgot, Nautilus",Poppy,Bot,Jungle,Mid,Top,Support,Bot,Jungle,Top,Mid,Support,SB,https://youtu.be/rXg6uqsm20Y?t=10014
Week 3,Team Secret Whales,CTBC Flying Oyster,1 - 1,1,25.S1.3,Zyra,Aurora,Rumble,Nocturne,Varus,Elise,Kalista,"Skarner, Corki","Renata Glasc, Wukong",Ambessa,Viktor,Taliyah,Akali,Poppy,Mel,"Ahri, Renekton",Leona,Bot,Support,Jungle,Mid,Top,Jungle,Bot,Top,Mid,Support,SB,https://youtu.be/rXg6uqsm20Y?t=7037
Week 3,CTBC Flying Oyster,Team Secret Whales,1 - 0,1,25.S1.3,Aurora,Zyra,Nocturne,Skarner,Elise,Rumble,K'Sante,"Vi, Orianna","Xin Zhao, Azir",Jayce,Varus,Poppy,Ezreal,Renata Glasc,Ashe,"Rakan, Kai'Sa",Braum,Top,Jungle,Mid,Support,Bot,Jungle,Mid,Top,Bot,Support,SB,https://youtu.be/rXg6uqsm20Y?t=2581
Week 3,Chiefs Esports Club,GAM Esports,0 - 2,2,25.S1.2,Ambessa,Aurora,Rumble,Skarner,Jayce,K'Sante,Ashe,"Ezreal, Nidalee","Braum, Renekton",Jax,Vi,Rakan,Zyra,Yone,Bard,"Lee Sin, Azir",Hwei,Bot,Support,Top,Jungle,Mid,Bot,Jungle,Top,Support,Mid,SB,https://youtu.be/E7ylaGq2I84?t=13264
Week 3,Chiefs Esports Club,GAM Esports,0 - 1,2,25.S1.2,Ambessa,Aurora,Rumble,Skarner,Jayce,K'Sante,Varus,"Kalista, Neeko","Viego, Galio",Corki,Nautilus,Zyra,Rell,Jax,Diana,"Sion, Leona",Udyr,Bot,Jungle,Mid,Top,Support,Bot,Support,Mid,Jungle,Top,SB,https://youtu.be/E7ylaGq2I84?t=10219
Week 3,Fukuoka SoftBank HAWKS gaming,TALON (Hong Kong Team),0 - 2,2,25.S1.2,Kalista,Rumble,Aurora,Skarner,Nocturne,Corki,Miss Fortune,"Pantheon, Ashe","Sejuani, Jax",Braum,Rell,Ambessa,Rakan,Ahri,Orianna,"Alistar, Sylas",Gragas,Bot,Jungle,Top,Support,Mid,Jungle,Bot,Support,Mid,Top,SB,https://youtu.be/E7ylaGq2I84?t=5833
Week 3,Fukuoka SoftBank HAWKS gaming,TALON (Hong Kong Team),0 - 1,2,25.S1.2,Kalista,Rumble,Corki,Skarner,Aurora,Ambessa,K'Sante,"Varus, Vi","Xin Zhao, Ezreal",Viktor,Sylas,Poppy,Akali,Alistar,Jayce,"Azir, Leona",Renata Glasc,Top,Jungle,Bot,Mid,Support,Bot,Jungle,Mid,Top,Support,SB,https://youtu.be/E7ylaGq2I84?t=2867
