Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
Week 3,Team Secret Whales,MGN Vikings Esports,0 - 2,2,25.S1.2,Zyra,Kalista,K'Sante,Elise,Ashe,Nocturne,Miss Fortune,"Corki, Udyr","Rell, Jax",Diana,Xin Zhao,Poppy,Lee Sin,Rakan,Kai'Sa,"Lillia, Tristana",Pyke,Bot,Support,Top,Jungle,Mid,Mid,Top,Jungle,Bot,Support,SB,https://www.youtube.com/live/WpNG4qT-q3I?si=gyzfy0T79Aa_6qtR&t=13682
Week 3,MGN Vikings Esports,Team Secret Whales,1 - 0,1,25.S1.2,Elise,Zyra,Kalista,K'Sante,Vi,Nocturne,Jayce,"Aurora, Viego","Wukong, Viktor",Ambessa,Poppy,Caitlyn,Ashe,Miss Fortune,Varus,"Ezreal, Leona",Nautilus,Top,Jungle,Mid,Bot,Support,Mid,Jungle,Top,Bot,Support,SB,https://www.youtube.com/live/WpNG4qT-q3I?si=-pXlozaJ5kiC37Pu&t=9728
Week 3,DetonatioN FocusMe,CTBC Flying Oyster,0 - 2,2,25.S1.2,Zyra,Aurora,Kalista,Vi,Skarner,Viego,Rumble,"Corki, Wukong","Nocturne, Orianna",Rakan,Ezreal,Galio,Poppy,Xayah,Sion,"Sivir, Rell",Viktor,Top,Jungle,Mid,Bot,Support,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/WpNG4qT-q3I?si=pqFEY9PtmxYck-is&t=5772
Week 3,CTBC Flying Oyster,DetonatioN FocusMe,1 - 0,1,25.S1.2,Aurora,Skarner,Vi,Zyra,Viego,Kalista,K'Sante,"Jayce, Ashe","Xin Zhao, Varus",Braum,Rakan,Pantheon,Orianna,Wukong,Sejuani,"Azir, Bard",Hwei,Top,Jungle,Bot,Mid,Support,Top,Bot,Support,Jungle,Mid,SB,https://www.youtube.com/live/WpNG4qT-q3I?si=RUorSA1TBbBuc8TW&t=2686
Week 2,DetonatioN FocusMe,TALON (Hong Kong Team),0 - 2,2,25.S1.2,Kalista,Zyra,Skarner,Nocturne,Jayce,Ashe,Caitlyn,"Jhin, Xin Zhao","Viego, Jax",Aurora,Orianna,Ambessa,Viktor,Neeko,Gragas,"Vladimir, Pantheon",Alistar,Bot,Jungle,Top,Mid,Support,Bot,Jungle,Mid,Top,Support,SB,https://youtu.be/UKYyczfiaLw?t=15004
Week 2,TALON (Hong Kong Team),DetonatioN FocusMe,1 - 0,1,25.S1.2,Zyra,Kalista,Aurora,Skarner,Orianna,Ashe,Corki,"Varus, K'Sante","Sejuani, Rumble",Vi,Ezreal,Taliyah,Yone,Poppy,Rakan,"Miss Fortune, Rell",Ahri,Mid,Jungle,Top,Bot,Support,Bot,Top,Jungle,Support,Mid,SB,https://youtu.be/UKYyczfiaLw?t=11409
Week 2,Chiefs Esports Club,Team Secret Whales,0 - 2,2,25.S1.2,Corki,Skarner,Nocturne,Kalista,Orianna,Viego,Miss Fortune,"Jayce, Nidalee","Rell, Lee Sin",Tristana,K'Sante,Alistar,Viktor,Nautilus,Ashe,"Ornn, Hwei",Braum,Bot,Support,Jungle,Top,Mid,Top,Jungle,Mid,Bot,Support,SB,https://youtu.be/UKYyczfiaLw?t=5701
Week 2,Chiefs Esports Club,Team Secret Whales,0 - 1,2,25.S1.2,Corki,Skarner,Nocturne,Kalista,Miss Fortune,Viego,Ezreal,"Varus, Aurora","Leona, Xin Zhao",Pantheon,Orianna,Braum,K'Sante,Jayce,Elise,"Sion, Azir",Jax,Bot,Support,Jungle,Top,Mid,Bot,Mid,Jungle,Support,Top,SB,https://youtu.be/UKYyczfiaLw?t=2557
Week 2,CTBC Flying Oyster,GAM Esports,2 - 1,1,25.S1.2,Jayce,Yone,Vi,Viktor,Caitlyn,K'Sante,Miss Fortune,"Xayah, Rakan","Wukong, Alistar",Udyr,Urgot,Sylas,Taliyah,Lee Sin,Galio,"Swain, Gragas",Kindred,Bot,Jungle,Support,Mid,Top,Bot,Support,Top,Mid,Jungle,SB,https://youtu.be/4_ZJDjv9OF8?t=18841
Week 2,GAM Esports,CTBC Flying Oyster,1 - 1,1,25.S1.2,Yone,Caitlyn,Viktor,K'Sante,Vi,Jayce,Skarner,"Rumble, Varus","Ashe, Jax",Xin Zhao,Sylas,Rell,Seraphine,Rakan,Azir,"Akali, Renata Glasc",Leona,Jungle,Bot,Top,Mid,Support,Top,Bot,Jungle,Mid,Support,SB,https://youtu.be/4_ZJDjv9OF8?t=14937
Week 2,GAM Esports,CTBC Flying Oyster,0 - 1,2,25.S1.2,Ashe,Rumble,Yone,K'Sante,Skarner,Jayce,Kalista,"Corki, Zyra","Neeko, Nocturne",Ambessa,Renekton,Leona,Jax,Rell,Ezreal,"Poppy, Aurora",Nautilus,Bot,Support,Jungle,Top,Mid,Mid,Jungle,Top,Bot,Support,SB,
Week 2,Fukuoka SoftBank HAWKS gaming,MGN Vikings Esports,0 - 2,2,25.S1.2,Zyra,Rumble,Jayce,Vi,Poppy,Kalista,Sejuani,"Aurora, Miss Fortune","Jax, Yone",Viego,Kai'Sa,Renekton,Ezreal,Gragas,Udyr,"Corki, Alistar",Rakan,Jungle,Top,Mid,Bot,Support,Mid,Bot,Jungle,Top,Support,SB,https://youtu.be/4_ZJDjv9OF8?t=5655
Week 2,Fukuoka SoftBank HAWKS gaming,MGN Vikings Esports,0 - 1,2,25.S1.2,Kalista,Rumble,Zyra,Vi,Nocturne,Aurora,Skarner,"K'Sante, Ashe","Varus, Ambessa",Brand,Rakan,Renata Glasc,Orianna,Braum,Tristana,"Rell, Azir",Pyke,Jungle,Bot,Top,Support,Mid,Top,Bot,Jungle,Mid,Support,SB,https://youtu.be/4_ZJDjv9OF8?t=2653
Week 2,Team Secret Whales,TALON (Hong Kong Team),0 - 2,2,25.S1.1,Ashe,Nocturne,Skarner,Corki,Kalista,Varus,Ezreal,"K'Sante, Kai'Sa","Leona, Orianna",Azir,Vi,Nautilus,Wukong,Pantheon,Lee Sin,"Sejuani, Gnar",Alistar,Bot,Support,Mid,Jungle,Top,Top,Bot,Mid,Jungle,Support,SB,https://youtu.be/wGXe55pvOGM?t=19804
Week 2,TALON (Hong Kong Team),Team Secret Whales,1 - 0,1,25.S1.1,Nocturne,Skarner,Varus,Ashe,Corki,Kalista,Jayce,"Miss Fortune, Aurora","Xin Zhao, Viktor",Rell,Braum,Wukong,Ezreal,K'Sante,Ambessa,"Jhin, Poppy",Viego,Top,Jungle,Mid,Bot,Support,Bot,Mid,Support,Top,Jungle,SB,https://youtu.be/wGXe55pvOGM?t=16049
Week 2,Chiefs Esports Club,DetonatioN FocusMe,1 - 2,2,25.S1.1,Zyra,Nocturne,Sejuani,Skarner,Yone,Viego,Corki,"Rumble, Maokai","Leona, Galio",Yasuo,Lillia,Nautilus,Nidalee,Rakan,Ashe,"Kindred, Akali",Gragas,Bot,Support,Top,Jungle,Mid,Top,Support,Mid,Bot,Jungle,SB,https://youtu.be/wGXe55pvOGM?t=10595
Week 2,DetonatioN FocusMe,Chiefs Esports Club,1 - 1,2,25.S1.1,Nocturne,Viego,Galio,Skarner,Ashe,Zyra,Vi,"Kalista, Xin Zhao","Taliyah, Ambessa",Renata Glasc,Ezreal,Rumble,Rakan,Orianna,Sion,"Azir, Alistar",Viktor,Jungle,Bot,Top,Mid,Support,Bot,Jungle,Support,Top,Mid,SB,https://youtu.be/wGXe55pvOGM?t=7284
Week 2,Chiefs Esports Club,DetonatioN FocusMe,0 - 1,2,25.S1.1,Viego,Nocturne,Zyra,Ashe,Vi,Skarner,K'Sante,"Jayce, Varus","Miss Fortune, Wukong",Rell,Alistar,Sejuani,Poppy,Xin Zhao,Pantheon,"Braum, Aurora",Vladimir,Top,Bot,Jungle,Support,Mid,Top,Bot,Support,Jungle,Mid,SB,https://youtu.be/wGXe55pvOGM?t=3223
Week 1,Fukuoka SoftBank HAWKS gaming,CTBC Flying Oyster,0 - 2,2,25.S1.1,Jayce,K'Sante,Vi,Rumble,Viktor,Skarner,Ashe,"Xin Zhao, Corki","Wukong, Braum",Rakan,Ahri,Taliyah,Orianna,Aurora,Gragas,"Renekton, Sylas",Galio,Bot,Jungle,Support,Top,Mid,Jungle,Bot,Support,Top,Mid,SB,https://www.youtube.com/live/6MTpwB9fvt8?si=AtL_VaooNJssC1je&t=17736
Week 1,Fukuoka SoftBank HAWKS gaming,CTBC Flying Oyster,0 - 1,2,25.S1.1,Jayce,K'Sante,Vi,Rumble,Skarner,Ashe,Sejuani,"Zyra, Yone","Miss Fortune, Ambessa",Jax,Akali,Xayah,Viktor,Varus,Leona,"Poppy, Azir",Ezreal,Jungle,Bot,Top,Support,Mid,Jungle,Mid,Top,Support,Bot,SB,https://www.youtube.com/live/6MTpwB9fvt8?si=AtL_VaooNJssC1je&t=13122
Week 1,MGN Vikings Esports,GAM Esports,2 - 0,1,25.S1.1,Vi,Kalista,Rumble,Zyra,Caitlyn,Miss Fortune,Nocturne,"K'Sante, Galio","Jayce, Hwei",Kindred,Ezreal,Jinx,Jhin,Kai'Sa,Corki,"Poppy, Smolder",Elise,Jungle,Top,Mid,Support,Bot,Top,Mid,Jungle,Bot,Support,SB,https://www.youtube.com/live/6MTpwB9fvt8?si=AtL_VaooNJssC1je&t=7542
Week 1,GAM Esports,MGN Vikings Esports,0 - 1,2,25.S1.1,Nocturne,Vi,Zyra,Rumble,K'Sante,Jayce,Skarner,"Ashe, Aurora","Varus, Viktor",Viego,Nautilus,Rakan,Poppy,Rell,Jax,"Ambessa, Alistar",Pyke,Jungle,Bot,Mid,Top,Support,Bot,Mid,Jungle,Top,Support,SB,https://www.youtube.com/live/6MTpwB9fvt8?si=VNS4s1DXQW1SLP3c&t=3724
Week 1,Chiefs Esports Club,TALON (Hong Kong Team),0 - 2,2,25.S1.1,Kalista,Nocturne,Skarner,Ashe,Ambessa,K'Sante,Jayce,"Miss Fortune, Viktor","Vi, Akali",Xin Zhao,Kai'Sa,Gragas,Rakan,Poppy,Udyr,"Caitlyn, Neeko",Nautilus,Top,Jungle,Mid,Bot,Support,Bot,Mid,Jungle,Top,Support,SB,https://www.youtube.com/live/QnN-2IyGmyc?si=qZnThDp17qV06pR0&t=18858
Week 1,TALON (Hong Kong Team),Chiefs Esports Club,1 - 0,1,25.S1.1,Nocturne,Skarner,Yone,Kalista,K'Sante,Renata Glasc,Rumble,"Varus, Galio","Corki, Sejuani",Viego,Alistar,Poppy,Ashe,Neeko,Rell,"Ezreal, Braum",Ahri,Top,Mid,Jungle,Bot,Support,Bot,Top,Jungle,Support,Mid,SB,https://www.youtube.com/live/QnN-2IyGmyc?si=qZnThDp17qV06pR0&t=15011
Week 1,DetonatioN FocusMe,Team Secret Whales,0 - 2,2,25.S1.1,Nocturne,Skarner,Varus,Viego,Viktor,Kalista,Vi,"Orianna, Wukong","K'Sante, Aurora",Ezreal,Caitlyn,Elise,Xayah,Rell,Malphite,"Kai'Sa, Rakan",Poppy,Jungle,Top,Mid,Bot,Support,Mid,Jungle,Bot,Top,Support,SB,https://www.youtube.com/live/QnN-2IyGmyc?si=GkC5eYdO3OK18VlE&t=7369
Week 1,Team Secret Whales,DetonatioN FocusMe,1 - 0,1,25.S1.1,K'Sante,Nocturne,Viego,Viktor,Skarner,Vi,Corki,"Ashe, Zyra","Nidalee, Jayce",Leona,Ezreal,Renekton,Braum,Tristana,Yone,"Miss Fortune, Alistar",Ambessa,Mid,Jungle,Top,Bot,Support,Bot,Jungle,Support,Mid,Top,SB,https://www.youtube.com/live/QnN-2IyGmyc?si=4gygrLUbjGq1iFjw&t=4074
Week 1,GAM Esports,Fukuoka SoftBank HAWKS gaming,2 - 1,1,25.S1.1,Viktor,Kalista,Ashe,Skarner,Nocturne,Vi,Varus,"Ezreal, Viego","Jayce, Xin Zhao",Ornn,Renata Glasc,Azir,Poppy,Rell,Nautilus,"Alistar, Aurora",Sylas,Bot,Top,Jungle,Support,Mid,Bot,Jungle,Top,Support,Mid,SB,https://www.youtube.com/live/nykRYATn1UE?si=eBqoq2vUP9L9JTXL&t=24666
Week 1,Fukuoka SoftBank HAWKS gaming,GAM Esports,1 - 1,1,25.S1.1,Vi,Skarner,Kalista,Varus,Nocturne,Ashe,Miss Fortune,"Jax, Jinx","Sejuani, Ambessa",Braum,Azir,Lillia,Aurora,Xin Zhao,Zyra,"Rakan, Yone",Renekton,Bot,Jungle,Top,Support,Mid,Top,Bot,Support,Jungle,Mid,SB,https://www.youtube.com/live/nykRYATn1UE?si=yRZazi5XniiiZPAb&t=19884
Week 1,Fukuoka SoftBank HAWKS gaming,GAM Esports,0 - 1,2,25.S1.1,Kalista,Skarner,Vi,Varus,Aurora,Ashe,Corki,"K'Sante, Caitlyn","Rumble, Wukong",Lux,Nautilus,Sejuani,Pyke,Nocturne,Galio,"Jhin, Leona",Kindred,Mid,Top,Jungle,Bot,Support,Top,Bot,Support,Mid,Jungle,SB,https://www.youtube.com/live/nykRYATn1UE?si=jvIm54BnE_Ol3T8S&t=16685
Week 1,MGN Vikings Esports,CTBC Flying Oyster,1 - 2,2,25.S1.1,Vi,Corki,Rumble,Aurora,Skarner,Ashe,Nocturne,"Caitlyn, Wukong","Jhin, Rell",Braum,Akali,Azir,Gnar,Ahri,Gragas,"Sion, Hwei",Taliyah,Jungle,Bot,Support,Top,Mid,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/nykRYATn1UE?si=yQXJTgynxtNaW4HS&t=11253
Week 1,CTBC Flying Oyster,MGN Vikings Esports,1 - 1,1,25.S1.1,Nocturne,Ashe,Corki,Vi,Aurora,Skarner,K'Sante,"Ezreal, Poppy","Xin Zhao, Viktor",Orianna,Caitlyn,Viego,Leona,Wukong,Lee Sin,"Kai'Sa, Alistar",Ambessa,Top,Jungle,Mid,Bot,Support,Bot,Support,Mid,Jungle,Top,SB,https://www.youtube.com/live/nykRYATn1UE?si=nZ8vgF1mSUgVH2_U&t=7992
Week 1,CTBC Flying Oyster,MGN Vikings Esports,0 - 1,2,25.S1.1,Nocturne,Ashe,K'Sante,Skarner,Corki,Rumble,Varus,"Jayce, Zyra","Sejuani, Yone",Miss Fortune,Ambessa,Rell,Leona,Poppy,Rakan,"Nautilus, Jax",Renekton,Bot,Jungle,Mid,Support,Top,Top,Jungle,Bot,Support,Mid,SB,https://www.youtube.com/live/nykRYATn1UE?si=nNbFt6K2ddMCEtVZ&t=4334
